Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,1.1086449838888595,63.761253751250415,0.7838387881091099,77.5
2,0.760240775126312,74.92719795487385,0.6803393885493279,79.70954356846472
3,0.6607348455982561,77.18795153940202,0.5905526583853936,81.2759336099585
4,0.6141374584706036,77.95487384683784,0.5462878978015572,82.0954356846473
5,0.5830830718850344,79.12192953206625,0.5276912054577411,83.15352697095436
6,0.5615820258347103,79.837723685673,0.5253311309297353,83.62033195020747
7,0.5464545996862319,80.2489718795154,0.4761371541003518,84.28423236514523
8,0.5347814726117326,80.2756474380349,0.5488575762076093,84.50207468879668
9,0.5238204459801507,80.79359786595532,0.4988901492775671,84.52282157676349
10,0.522657688617028,80.70690230076693,0.4783295373870245,85.28008298755186
11,0.5107421367131121,81.06035345115038,0.6032881802009629,84.89626556016597
12,0.5067948938836244,81.20262309658776,0.45002600754185623,85.18672199170125
13,0.5036647065965244,81.00255640769146,0.4324164783446402,85.61203319502074
14,0.49358061935281006,81.63610092252974,0.47339829851854714,85.4149377593361
15,0.49817996595060166,81.24485939757697,0.47378541257799855,85.94398340248962
16,0.4923044068905741,81.56496609981104,0.394654620093423,86.02697095435684
17,0.48852317246103694,81.74280315660776,0.5873172776711895,85.8609958506224
18,0.4880732655906745,81.51383794598199,0.3829314740658398,86.16182572614107
19,0.4851723998509464,81.93175502945427,0.42745645655109393,86.2240663900415
20,0.48453383499578934,81.79170834722686,0.42629932976074963,86.06846473029046
