Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,1.1532898266742782,60.86917861509392,0.8687646763016846,73.70331950207469
2,0.8202660971057534,72.49749916638879,0.7683453229780228,77.10580912863071
3,0.7196843276279918,75.03390018895188,0.6274899331149676,79.30497925311204
4,0.670272792110572,76.23652328553962,0.5954364444443722,80.04149377593362
5,0.640559607218543,76.87006780037791,0.5485926630678556,81.07883817427386
6,0.6207586256826925,77.33022118483939,0.5395952555418804,81.39004149377594
7,0.6014127488199034,78.0437923752362,0.509829581869359,82.11618257261411
8,0.5905492864072238,78.17939313104368,0.532386198121783,82.27178423236515
9,0.5808951774582924,78.65733022118484,0.5249727523040693,82.68672199170125
10,0.5721110568870691,78.72624208069357,0.49973820167168087,82.9460580912863
11,0.5674371955383722,78.96854507057908,0.506772069198801,83.3298755186722
12,0.5654661688492614,79.04190285650772,0.5137804143426828,83.23651452282158
13,0.5605606643289625,79.09303101033677,0.48214868552341367,83.2883817427386
14,0.5540461197898194,79.17083472268534,0.4636059406133282,83.70331950207469
15,0.5469246388202371,79.35978659553184,0.5029127266480039,83.68257261410788
16,0.5495404878559695,79.34644881627209,0.5441595632212841,83.59958506224066
17,0.5473140260657748,79.6598866288763,0.5450149225379457,83.7240663900415
18,0.5464180791233885,79.2864288096032,0.4740489696380713,84.19087136929461
19,0.542303629378506,79.40424585973102,0.4345988253785285,84.23236514522821
20,0.5369123683481942,79.79104145826386,0.4990861329638603,84.28423236514523
